exp,subj,age,gender,condition,phase,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
2,1,19,F,proximal_repeated,1,24,0,1,8,1,91,3,2508,0,0.222495,6.314561,1.962141,-1
2,1,19,F,proximal_repeated,1,25,0,1,1,1,96,4,2132,0,0.1487011,6.626866,1.219649,-1
2,1,19,F,proximal_repeated,1,25,0,1,2,2,94,2,2220,0,0.3174551,12.47855,1.420238,-1
2,1,19,F,proximal_repeated,1,25,0,1,3,2,95,3,2142,0,0.9269859,12.40884,4.177483,-1
2,1,19,F,proximal_repeated,1,25,0,1,4,2,96,4,1476,0,0.615061,12.4604,2.736166,-1
2,1,19,F,proximal_repeated,1,25,0,1,5,1,95,3,4065,0,5.442061e-8,6.324148,0.01978234,-1
2,1,19,F,proximal_repeated,1,25,0,1,6,2,93,1,5675,0,0.5457706,12.28919,2.506006,-1
2,1,19,F,proximal_repeated,1,25,0,1,7,1,94,2,2376,0,0.1438657,6.652113,1.186302,-1
2,1,19,F,proximal_repeated,1,25,0,1,8,1,93,1,1365,0,0.352241,6.275723,3.060047,-1
2,1,19,F,proximal_repeated,1,26,0,1,1,1,99,3,3476,0,7.986704e-8,6.319343,0,-1
2,1,19,F,proximal_repeated,1,26,0,1,2,2,100,4,1876,0,0.563601,12.45987,2.5046,-1
2,1,19,F,proximal_repeated,1,26,0,1,3,1,97,1,1609,0,0.2644833,6.285064,2.301122,-1
2,1,19,F,proximal_repeated,1,26,0,1,4,2,98,2,1665,0,0.5598088,12.47483,2.498105,-1
2,1,19,F,proximal_repeated,1,26,0,1,5,2,97,1,2465,0,0.5489735,12.29534,2.506631,-1
2,1,19,F,proximal_repeated,1,26,0,1,6,1,98,2,3265,0,0.5394727,6.657514,4.449419,-1
2,1,19,F,proximal_repeated,1,26,0,1,7,1,100,4,2253,0,0.5002458,6.628975,4.152326,-1
2,1,19,F,proximal_repeated,1,26,0,1,8,2,99,3,3209,0,3.007981e-7,12.41375,0,-1
2,1,19,F,proximal_repeated,1,27,0,1,1,2,104,4,1698,0,0.6642516,12.46493,2.954328,-1
2,1,19,F,proximal_repeated,1,27,0,1,2,1,101,1,1764,0,0.516879,6.283032,4.474878,-1
2,1,19,F,proximal_repeated,1,27,0,1,3,1,102,2,3776,1,0.1793461,6.665779,1.485431,-1
2,1,19,F,proximal_repeated,1,27,0,1,4,2,101,1,4209,4,0.2233567,12.2771,1.022399,-1
2,1,19,F,proximal_repeated,1,27,0,1,5,2,102,2,1753,0,0.405877,12.46582,1.818654,-1
2,1,19,F,proximal_repeated,1,27,0,1,6,1,103,3,2331,0,0.08569657,6.305405,0.7504317,-1
2,1,19,F,proximal_repeated,1,27,0,1,7,1,104,4,2898,0,5.321858e-4,6.631314,0,-1
2,1,19,F,proximal_repeated,1,27,0,1,8,2,103,3,3975,0,0.4072568,12.40583,1.854247,-1
2,1,19,F,proximal_repeated,1,28,0,1,1,2,105,1,1709,0,0.8411501,12.28998,3.888366,-1
2,1,19,F,proximal_repeated,1,28,0,1,2,2,107,3,2664,0,0.358742,12.40747,1.627626,-1
2,1,19,F,proximal_repeated,1,28,0,1,3,2,106,2,1675,0,0.2097962,12.47748,0.9404523,-1
2,1,19,F,proximal_repeated,1,28,0,1,4,2,108,4,3342,0,0.5442436,12.46227,2.465613,-1
2,1,19,F,proximal_repeated,1,28,0,1,5,1,105,1,3009,1,0.4959017,6.2785,4.286012,-1
2,1,19,F,proximal_repeated,1,28,0,1,6,1,106,2,4064,1,0.4108654,6.663687,3.441052,-1
2,1,19,F,proximal_repeated,1,28,0,1,7,1,107,3,2409,0,0.1979832,6.310098,1.743048,-1
2,1,19,F,proximal_repeated,1,28,0,1,8,1,108,4,3276,1,9.96143e-8,6.636264,0,-1
2,1,19,F,proximal_repeated,1,29,0,1,1,2,111,3,2442,0,0.2028976,12.41715,0.9130027,-1
2,1,19,F,proximal_repeated,1,29,0,1,2,2,110,2,1909,0,0.3619225,12.48481,1.617736,-1
2,1,19,F,proximal_repeated,1,29,0,1,3,1,112,4,2820,0,0.1515281,6.631221,1.259432,-1
2,1,19,F,proximal_repeated,1,29,0,1,4,1,110,2,2965,0,0.3869471,6.660449,3.17632,-1
2,1,19,F,proximal_repeated,1,29,0,1,5,2,109,1,2798,2,0.8464432,12.27457,3.939797,-1
2,1,19,F,proximal_repeated,1,29,0,1,6,2,112,4,3309,1,0.9639832,12.4608,4.325086,-1
2,1,19,F,proximal_repeated,1,29,0,1,7,1,109,1,1687,0,0.4901817,6.286359,4.243855,-1
2,1,19,F,proximal_repeated,1,29,0,1,8,1,111,3,2398,0,0.3154039,6.30923,2.780871,-1
2,1,19,F,proximal_repeated,1,30,0,1,1,1,116,4,2798,0,8.27434e-8,6.63527,0,-1
2,1,19,F,proximal_repeated,1,30,0,1,2,2,115,3,3242,0,9.861163e-8,12.41233,0,-1
2,1,19,F,proximal_repeated,1,30,0,1,3,2,114,2,1798,0,0.3669069,12.47778,1.642348,-1
2,1,19,F,proximal_repeated,1,30,0,1,4,2,113,1,1720,0,0.8950753,12.28685,4.115088,-1
2,1,19,F,proximal_repeated,1,30,0,1,5,1,114,2,3964,1,0.1705685,6.660934,1.400116,-1
2,1,19,F,proximal_repeated,1,30,0,1,6,1,113,1,2931,2,1.478161e-7,6.279246,0,-1
2,1,19,F,proximal_repeated,1,30,0,1,7,2,116,4,2487,0,0.5201795,12.46664,2.364468,-1
2,1,19,F,proximal_repeated,1,30,0,1,8,1,115,3,2009,0,0.3441644,6.308135,3.055053,-1
2,1,19,F,proximal_repeated,1,31,0,1,1,2,117,1,1586,0,0.1117352,12.28833,0.5109072,-1
2,1,19,F,proximal_repeated,1,31,0,1,2,1,118,2,3797,1,0.07622026,6.664097,0.6321102,-1
2,1,19,F,proximal_repeated,1,31,0,1,3,1,119,3,2620,0,0.2050702,6.329293,1.774868,-1
